==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
    174.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    175.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    176.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    177.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    178.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    179.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    180.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    181.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    182.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    183.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    184.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    185.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    186.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    187.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    188.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    189.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    190.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    191.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    192.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    193.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    194.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    195.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    196.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    197.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    198.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    199.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    200.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    201.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
